date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:19	111/111	---MCZ	200	added ('OK')	text/plain	date:Thu,%2030%20Jan%202025%2022:33:38%20GMT	https://api.jquery.com/robots.txt		(from )
23:37:19	316474/316474	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:34:06%20GMT	https://api.jquery.com/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/index.html	(from )
23:37:20	18094/18094	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2264abc274-46ae%22	https://api.jquery.com/wp-content/themes/api.jquery.com/i/favicon.ico	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/api.jquery.com/i/favicon.ico	(from https://api.jquery.com/)
23:37:20	13503/13503	---MCZ	200	added ('OK')	text/css	etag:W/%2266c95cba-34bf%22	https://api.jquery.com/wp-content/themes/jquery/lib/typesense-minibar/typesense-minibar.css?v=c5fa9b9a	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/typesense-minibar/typesense-minibar367b.css	(from https://api.jquery.com/)
23:37:20	60548/60548	---MCZ	200	added ('OK')	text/css	etag:W/%22670a7b47-ec84%22	https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/css/base9d6a.css	(from https://api.jquery.com/)
23:37:20	641/641	---MCZ	200	added ('OK')	text/css	etag:W/%22670a7b47-281%22	https://api.jquery.com/wp-content/themes/api.jquery.com/style.css?v=1a10d276	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/api.jquery.com/style7279.css	(from https://api.jquery.com/)
23:37:21	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/My%20Web%20Sites/JQuery%20Documentation/code.jquery.com/jquery-3.7.1.min.js	(from https://api.jquery.com/)
23:37:21	3573/3573	---MCZ	200	added ('OK')	application/javascript	etag:W/%226622878a-df5%22	https://api.jquery.com/wp-content/themes/jquery/js/main.js?v=10baaffd	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/js/main09d9.js	(from https://api.jquery.com/)
23:37:21	6374/6374	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266c95cba-18e6%22	https://api.jquery.com/wp-content/themes/jquery/lib/typesense-minibar/typesense-minibar.js?v=830f1ee1	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/typesense-minibar/typesense-minibar585c.js	(from https://api.jquery.com/)
23:37:21	7006/7006	---M--	200	added ('OK')	image/jpeg	etag:%2264abc274-1b5e%22	https://api.jquery.com/wp-content/themes/jquery/content/books/learning-jquery-4th-ed.jpg	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/content/books/learning-jquery-4th-ed.jpg	(from https://api.jquery.com/)
23:37:22	24853/24853	---M--	200	added ('OK')	image/jpeg	etag:%2264abc274-6115%22	https://api.jquery.com/wp-content/themes/jquery/content/books/jquery-in-action.jpg	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/content/books/jquery-in-action.jpg	(from https://api.jquery.com/)
23:37:22	188653/188653	---MCZ	200	added ('OK')	application/json	date:Thu,%2030%20Jan%202025%2022:34:25%20GMT	https://api.jquery.com/wp-json/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-json/index.html	(from https://api.jquery.com/)
23:37:22	46137/46137	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:35:37%20GMT	https://api.jquery.com/category/traversing/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/traversing/index.html	(from https://api.jquery.com/)
23:37:22	25868/25868	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:35:36%20GMT	https://api.jquery.com/category/traversing/miscellaneous-traversal/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/traversing/miscellaneous-traversal/index.html	(from https://api.jquery.com/)
23:37:23	3629/3629	---M--	200	added ('OK')	image/jpeg	etag:%2264abc274-e2d%22	https://api.jquery.com/wp-content/themes/jquery/content/books/jquery-succinctly.jpg	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/content/books/jquery-succinctly.jpg	(from https://api.jquery.com/)
23:37:23	59619/59619	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:35:37%20GMT	https://api.jquery.com/add/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/add/index.html	(from https://api.jquery.com/)
23:37:23	39830/39830	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:35:37%20GMT	https://api.jquery.com/addBack/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/addBack/index.html	(from https://api.jquery.com/)
23:37:23	23584/23584	---M--	200	added ('OK')	font/woff2	etag:%2265973661-5c20%22	https://api.jquery.com/wp-content/themes/jquery/lib/FontAwesome/fontawesome-webfont.woff2	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/FontAwesome/fontawesome-webfont.woff2	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:24	29380/29380	---M--	200	added ('OK')	font/woff	etag:%2265973661-72c4%22	https://api.jquery.com/wp-content/themes/jquery/lib/FontAwesome/fontawesome-webfont.woff	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/FontAwesome/fontawesome-webfont.woff	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:24	35208/35208	---M--	200	added ('OK')	font/woff2	etag:%2265973661-8988%22	https://api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Regular.woff2	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Regular.woff2	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:24	30847/30847	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:33%20GMT	https://api.jquery.com/category/attributes/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/attributes/index.html	(from https://api.jquery.com/)
23:37:25	47520/47520	---M--	200	added ('OK')	font/woff	etag:%2265973661-b9a0%22	https://api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Regular.woff	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Regular.woff	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:26	36148/36148	---M--	200	added ('OK')	font/woff2	etag:%2265973661-8d34%22	https://api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Bold.woff2	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Bold.woff2	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:26	38717/38717	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:34%20GMT	https://api.jquery.com/category/css/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/css/index.html	(from https://api.jquery.com/)
23:37:26	61157/61157	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:33%20GMT	https://api.jquery.com/category/manipulation/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/manipulation/index.html	(from https://api.jquery.com/)
23:37:26	25594/25594	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:34%20GMT	https://api.jquery.com/category/manipulation/class-attribute/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/manipulation/class-attribute/index.html	(from https://api.jquery.com/)
23:37:27	48512/48512	---M--	200	added ('OK')	font/woff	etag:%2265973661-bd80%22	https://api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Bold.woff	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/lib/Cairo/Cairo-Bold.woff	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:29	57171/57171	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:35%20GMT	https://api.jquery.com/addClass/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/addClass/index.html	(from https://api.jquery.com/)
23:37:29	24346/24346	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:35%20GMT	https://api.jquery.com/category/manipulation/dom-insertion-outside/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/manipulation/dom-insertion-outside/index.html	(from https://api.jquery.com/)
23:37:29	53547/53547	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:35%20GMT	https://api.jquery.com/after/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/after/index.html	(from https://api.jquery.com/)
23:37:29	97643/97643	---M--	200	added ('OK')	image/jpeg	etag:%2264abc274-17d6b%22	https://api.jquery.com/wp-content/themes/jquery/images/bg-body-learn.jpg	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/bg-body-learn.jpg	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:29	8005/8005	---M--	200	added ('OK')	image/png	etag:%2264abc274-1f45%22	https://api.jquery.com/wp-content/themes/jquery/images/jq-nav-icons.png	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/jq-nav-icons.png	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:30	4542/4542	---M--	200	added ('OK')	image/png	etag:%2264abc274-11be%22	https://api.jquery.com/wp-content/themes/jquery/images/logo-jquery.png	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/logo-jquery.png	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:30	42693/42693	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:37%20GMT	https://api.jquery.com/category/ajax/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/ajax/index.html	(from https://api.jquery.com/)
23:37:30	4496/4496	---M--	200	added ('OK')	image/png	etag:%2264abc274-1190%22	https://api.jquery.com/wp-content/themes/jquery/images/logo-jquery-ui.png	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/logo-jquery-ui.png	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:30	30747/30747	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:38%20GMT	https://api.jquery.com/category/ajax/global-ajax-event-handlers/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/ajax/global-ajax-event-handlers/index.html	(from https://api.jquery.com/)
23:37:30	4062/4062	---M--	200	added ('OK')	image/png	etag:%2264abc274-fde%22	https://api.jquery.com/wp-content/themes/jquery/images/logo-jquery-mobile.png	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/logo-jquery-mobile.png	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:30	31815/31815	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:38%20GMT	https://api.jquery.com/ajaxComplete/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/ajaxComplete/index.html	(from https://api.jquery.com/)
23:37:30	3718/3718	---M--	200	added ('OK')	image/png	etag:%2264abc274-e86%22	https://api.jquery.com/wp-content/themes/jquery/images/logo-jquery-foundation.png	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/logo-jquery-foundation.png	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:31	17043/17043	---M--	200	added ('OK')	image/png	etag:%2264abc274-4293%22	https://api.jquery.com/wp-content/themes/jquery/images/projectlogosfull-small.png	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/projectlogosfull-small.png	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:31	2767/2767	---M--	200	added ('OK')	image/png	etag:%2264abc274-acf%22	https://api.jquery.com/wp-content/themes/jquery/images/dark-grey-tile.png	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/dark-grey-tile.png	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:31	96249/96249	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:39%20GMT	https://api.jquery.com/category/deprecated/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/deprecated/index.html	(from https://api.jquery.com/)
23:37:31	1029/1029	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226529ba7e-405%22	https://api.jquery.com/wp-content/themes/jquery/images/logo-wordpress.svg	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/logo-wordpress.svg	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
23:37:31	27754/27754	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:39%20GMT	https://api.jquery.com/category/deprecated/deprecated-3.5/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/category/deprecated/deprecated-3.5/index.html	(from https://api.jquery.com/)
23:37:32	24485/24485	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2022:37:39%20GMT	https://api.jquery.com/ajaxComplete-shorthand/	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/ajaxComplete-shorthand/index.html	(from https://api.jquery.com/)
23:37:32	442/442	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226529ba7e-1ba%22	https://api.jquery.com/wp-content/themes/jquery/images/logo-digitalocean.svg	C:/My%20Web%20Sites/JQuery%20Documentation/api.jquery.com/wp-content/themes/jquery/images/logo-digitalocean.svg	(from https://api.jquery.com/wp-content/themes/jquery/css/base.css?v=9fa813cf)
